(Vienna, 23.584497, Degree Celsius, 02:46:15:438)
(Linz, 21.619974, Degree Celsius, 02:46:15:438)
(Las Vegas, 47.544743, Degree Fahrenheit, 02:46:15:438)
(Dornbirn, 19.166885, Degree Celsius, 02:46:15:438)
(Dornbirn, 19.267378, Degree Celsius, 02:46:15:451)
(Linz, 21.675564, Degree Celsius, 02:46:15:451)
(Vienna, 23.814198, Degree Celsius, 02:46:15:451)
(Las Vegas, 47.172806, Degree Fahrenheit, 02:46:15:451)
(Vienna, 23.324688, Degree Celsius, 02:46:15:483)
(Vienna, 22.6511, Degree Celsius, 02:46:15:515)
(Vienna, 22.599358, Degree Celsius, 02:46:15:531)
(Vienna, 23.505829, Degree Celsius, 02:46:15:563)
(Vienna, 23.462069, Degree Celsius, 02:46:15:594)
(Vienna, 23.707815, Degree Celsius, 02:46:15:626)
(Dornbirn, 19.3168, Degree Celsius, 02:46:15:483)
(Dornbirn, 18.957949, Degree Celsius, 02:46:15:515)
(Dornbirn, 18.670513, Degree Celsius, 02:46:15:531)
(Dornbirn, 18.634087, Degree Celsius, 02:46:15:563)
(Dornbirn, 19.544573, Degree Celsius, 02:46:15:594)
(Dornbirn, 18.868275, Degree Celsius, 02:46:15:626)
(Las Vegas, 44.584522, Degree Fahrenheit, 02:46:15:483)
(Las Vegas, 45.118153, Degree Fahrenheit, 02:46:15:515)
(Las Vegas, 51.41573, Degree Fahrenheit, 02:46:15:531)
(Las Vegas, 51.43219, Degree Fahrenheit, 02:46:15:563)
(Las Vegas, 46.595745, Degree Fahrenheit, 02:46:15:594)
(Las Vegas, 44.57055, Degree Fahrenheit, 02:46:15:626)
(Linz, 21.083235, Degree Celsius, 02:46:15:483)
(Linz, 20.623762, Degree Celsius, 02:46:15:515)
(Linz, 21.388794, Degree Celsius, 02:46:15:531)
(Linz, 21.914541, Degree Celsius, 02:46:15:563)
(Linz, 21.017767, Degree Celsius, 02:46:15:594)
(Linz, 20.326363, Degree Celsius, 02:46:15:626)
(Vienna, 23.255228, Degree Celsius, 02:46:15:640)
(Vienna, 23.642294, Degree Celsius, 02:46:15:671)
(Vienna, 22.635077, Degree Celsius, 02:46:15:702)
(Vienna, 23.385162, Degree Celsius, 02:46:15:733)
(Vienna, 23.304522, Degree Celsius, 02:46:15:764)
(Vienna, 23.302744, Degree Celsius, 02:46:15:790)
(Las Vegas, 49.593494, Degree Fahrenheit, 02:46:15:640)
(Las Vegas, 41.157555, Degree Fahrenheit, 02:46:15:671)
(Las Vegas, 43.895893, Degree Fahrenheit, 02:46:15:702)
(Las Vegas, 50.547684, Degree Fahrenheit, 02:46:15:733)
(Las Vegas, 48.3234, Degree Fahrenheit, 02:46:15:764)
(Las Vegas, 50.9169, Degree Fahrenheit, 02:46:15:790)
(Linz, 21.891214, Degree Celsius, 02:46:15:640)
(Linz, 21.079165, Degree Celsius, 02:46:15:671)
(Linz, 21.171986, Degree Celsius, 02:46:15:702)
(Linz, 21.525875, Degree Celsius, 02:46:15:733)
(Linz, 21.859995, Degree Celsius, 02:46:15:764)
(Linz, 22.010824, Degree Celsius, 02:46:15:790)
(Dornbirn, 18.885931, Degree Celsius, 02:46:15:640)
(Dornbirn, 19.08081, Degree Celsius, 02:46:15:671)
(Dornbirn, 18.703848, Degree Celsius, 02:46:15:702)
(Dornbirn, 19.486261, Degree Celsius, 02:46:15:733)
(Dornbirn, 19.12822, Degree Celsius, 02:46:15:764)
