(New York, 22.840124, Degree Celsius, 05:29:16:830)
(Vienna, 20.710417, Degree Celsius, 05:29:16:830)
(Linz, 21.490545, Degree Celsius, 05:29:16:830)
(Dornbirn, 21.886139, Degree Celsius, 05:29:16:830)
(New York, 22.665272, Degree Celsius, 05:29:16:858)
(Vienna, 22.39447, Degree Celsius, 05:29:16:858)
(Linz, 21.41685, Degree Celsius, 05:29:16:858)
(Dornbirn, 20.459269, Degree Celsius, 05:29:16:858)
(Vienna, 23.343428, Degree Celsius, 05:29:16:889)
(New York, 21.966778, Degree Celsius, 05:29:16:889)
(Vienna, 23.032822, Degree Celsius, 05:29:16:921)
(Linz, 22.83141, Degree Celsius, 05:29:16:889)
(Dornbirn, 21.160965, Degree Celsius, 05:29:16:889)
(New York, 21.094952, Degree Celsius, 05:29:16:921)
(Vienna, 22.099808, Degree Celsius, 05:29:16:936)
(Linz, 22.415482, Degree Celsius, 05:29:16:921)
(New York, 22.108406, Degree Celsius, 05:29:16:936)
(Vienna, 23.723822, Degree Celsius, 05:29:16:969)
(Dornbirn, 21.631502, Degree Celsius, 05:29:16:921)
(Linz, 20.6535, Degree Celsius, 05:29:16:936)
(Dornbirn, 22.317535, Degree Celsius, 05:29:16:936)
(New York, 20.409723, Degree Celsius, 05:29:16:969)
(Linz, 22.26787, Degree Celsius, 05:29:16:969)
(Dornbirn, 23.242407, Degree Celsius, 05:29:16:969)
(Vienna, 22.779686, Degree Celsius, 05:29:16:996)
(New York, 22.035631, Degree Celsius, 05:29:16:996)
(Linz, 20.880762, Degree Celsius, 05:29:16:996)
(Dornbirn, 20.248276, Degree Celsius, 05:29:16:996)
(New York, 21.33055, Degree Celsius, 05:29:17:028)
(Linz, 20.913609, Degree Celsius, 05:29:17:028)
(Linz, 20.790058, Degree Celsius, 05:29:17:060)
(Linz, 23.527836, Degree Celsius, 05:29:17:090)
(Linz, 23.28172, Degree Celsius, 05:29:17:120)
(New York, 21.07939, Degree Celsius, 05:29:17:060)
(Linz, 24.008223, Degree Celsius, 05:29:17:151)
(New York, 20.704304, Degree Celsius, 05:29:17:090)
(Linz, 23.551622, Degree Celsius, 05:29:17:166)
(New York, 24.093319, Degree Celsius, 05:29:17:120)
(Linz, 23.304176, Degree Celsius, 05:29:17:197)
(New York, 20.682434, Degree Celsius, 05:29:17:151)
(New York, 20.936268, Degree Celsius, 05:29:17:166)
