(Vienna, 21.220608, Degree Celsius, 05:29:17:028)
(Dornbirn, 21.114735, Degree Celsius, 05:29:17:028)
(Dornbirn, 23.438955, Degree Celsius, 05:29:17:060)
(Vienna, 21.915714, Degree Celsius, 05:29:17:060)
(Dornbirn, 23.444073, Degree Celsius, 05:29:17:090)
(Vienna, 23.027136, Degree Celsius, 05:29:17:090)
(Dornbirn, 22.024567, Degree Celsius, 05:29:17:120)
(Vienna, 23.526192, Degree Celsius, 05:29:17:120)
(Vienna, 22.503391, Degree Celsius, 05:29:17:151)
(Vienna, 22.702744, Degree Celsius, 05:29:17:166)
(Vienna, 22.671286, Degree Celsius, 05:29:17:197)
(Dornbirn, 20.328516, Degree Celsius, 05:29:17:151)
(Dornbirn, 22.914482, Degree Celsius, 05:29:17:166)
(Dornbirn, 21.896597, Degree Celsius, 05:29:17:197)
(Linz, 22.358612, Degree Celsius, 05:29:17:229)
(Linz, 21.173393, Degree Celsius, 05:29:17:261)
(Linz, 20.418787, Degree Celsius, 05:29:17:277)
(Linz, 22.569405, Degree Celsius, 05:29:17:308)
(Linz, 23.3283, Degree Celsius, 05:29:17:340)
(Linz, 22.91037, Degree Celsius, 05:29:17:370)
(Linz, 23.90815, Degree Celsius, 05:29:17:396)
(Dornbirn, 21.67286, Degree Celsius, 05:29:17:428)
(Dornbirn, 22.380392, Degree Celsius, 05:29:17:461)
(Dornbirn, 23.372873, Degree Celsius, 05:29:17:476)
(Vienna, 24.128557, Degree Celsius, 05:29:17:428)
(Dornbirn, 21.976532, Degree Celsius, 05:29:17:507)
(Dornbirn, 20.490816, Degree Celsius, 05:29:17:540)
(Dornbirn, 21.551819, Degree Celsius, 05:29:17:572)
(Dornbirn, 23.377361, Degree Celsius, 05:29:17:586)
(New York, 21.060812, Degree Celsius, 05:29:17:428)
(Vienna, 21.595098, Degree Celsius, 05:29:17:461)
(Vienna, 23.020247, Degree Celsius, 05:29:17:476)
(New York, 22.461346, Degree Celsius, 05:29:17:461)
(Vienna, 20.843624, Degree Celsius, 05:29:17:507)
(Vienna, 20.398327, Degree Celsius, 05:29:17:540)
(Vienna, 23.25418, Degree Celsius, 05:29:17:572)
(Vienna, 22.720495, Degree Celsius, 05:29:17:586)
(New York, 20.264894, Degree Celsius, 05:29:17:476)
(New York, 20.720219, Degree Celsius, 05:29:17:507)
(New York, 21.453436, Degree Celsius, 05:29:17:540)
(New York, 22.752865, Degree Celsius, 05:29:17:572)
(New York, 21.995132, Degree Celsius, 05:29:17:586)
(Vienna, 22.942417, Degree Celsius, 05:29:17:618)
(Dornbirn, 24.075096, Degree Celsius, 05:29:17:618)
(Linz, 22.945875, Degree Celsius, 05:29:17:618)
(New York, 20.500053, Degree Celsius, 05:29:17:618)
(Vienna, 23.422932, Degree Celsius, 05:29:17:649)
(Linz, 20.935612, Degree Celsius, 05:29:17:649)
(Vienna, 21.815172, Degree Celsius, 05:29:17:681)
(Dornbirn, 21.239346, Degree Celsius, 05:29:17:649)
(New York, 21.421455, Degree Celsius, 05:29:17:649)
(Vienna, 22.685764, Degree Celsius, 05:29:17:706)
(Linz, 20.910246, Degree Celsius, 05:29:17:681)
(Dornbirn, 21.862028, Degree Celsius, 05:29:17:681)
(New York, 22.054672, Degree Celsius, 05:29:17:681)
(Vienna, 20.827274, Degree Celsius, 05:29:17:737)
(Dornbirn, 23.443768, Degree Celsius, 05:29:17:706)
(Linz, 23.347885, Degree Celsius, 05:29:17:706)
(New York, 20.982868, Degree Celsius, 05:29:17:706)
(Linz, 21.484133, Degree Celsius, 05:29:17:737)
(Vienna, 23.940958, Degree Celsius, 05:29:17:770)
(Dornbirn, 21.795164, Degree Celsius, 05:29:17:737)
(New York, 22.964636, Degree Celsius, 05:29:17:737)
(Linz, 21.687424, Degree Celsius, 05:29:17:770)
(Dornbirn, 24.000807, Degree Celsius, 05:29:17:770)
(Vienna, 20.34074, Degree Celsius, 05:29:17:801)
(New York, 20.46891, Degree Celsius, 05:29:17:770)
(New York, 22.340712, Degree Celsius, 05:29:17:801)
(Linz, 24.037556, Degree Celsius, 05:29:17:801)
(Dornbirn, 24.145523, Degree Celsius, 05:29:17:801)
(Vienna, 22.605162, Degree Celsius, 05:29:17:816)
(New York, 22.038029, Degree Celsius, 05:29:17:816)
(Dornbirn, 21.027931, Degree Celsius, 05:29:17:816)
(Linz, 23.660412, Degree Celsius, 05:29:17:816)
(New York, 21.415237, Degree Celsius, 05:29:17:848)
(Vienna, 23.15805, Degree Celsius, 05:29:17:848)
(Dornbirn, 20.384632, Degree Celsius, 05:29:17:848)
(Linz, 22.304031, Degree Celsius, 05:29:17:848)
(New York, 21.77513, Degree Celsius, 05:29:17:879)
(Dornbirn, 22.265066, Degree Celsius, 05:29:17:879)
(Vienna, 20.779318, Degree Celsius, 05:29:17:879)
(Linz, 22.044666, Degree Celsius, 05:29:17:879)
(New York, 22.873753, Degree Celsius, 05:29:17:911)
(Dornbirn, 21.813381, Degree Celsius, 05:29:17:911)
(Vienna, 22.939213, Degree Celsius, 05:29:17:911)
(Linz, 23.999466, Degree Celsius, 05:29:17:911)
(New York, 20.670921, Degree Celsius, 05:29:17:936)
(Dornbirn, 21.061523, Degree Celsius, 05:29:17:936)
(Vienna, 22.173347, Degree Celsius, 05:29:17:936)
